06489        1C1995 05 19.24710414 14 47.289-04 29 50.49                29462689
06489J91J00X 1C1995 05 19.35187 14 14 57.78 -04 26 18.5                z25272658
06489J91J00X 1C1995 05 19.35396 14 14 57.98 -04 26 14.1                z25272658
06489J91J00X 1C1995 05 19.35598 14 14 58.18 -04 26 09.6                z25272658
06489J91J00X  C1995 05 19.37082 14 15 01.56 -04 25 08.4                c25270608
06489J91J00X  C1995 05 19.38987 14 15 03.21 -04 24 27.1                c25270608
06489J91J00X  C1995 05 19.41787 14 15 05.63 -04 23 26.6                c25270608
06489J91J00X  C1995 05 20.95710 14 18 22.58 -03 24 51.3                z25268587
06489J91J00X  C1995 05 20.95868 14 18 22.77 -03 24 47.5                z25268587
06489J91J00X  C1995 05 20.96056 14 18 23.00 -03 24 42.8                z25268587
06489        1C1995 05 21.24461514 19 04.593-03 12 47.27                29462689
06489J91J00X  C1995 05 22.84102 14 23 20.32 -02 01 28.5          15.2 Rz25258117
06489J91J00X  C1995 05 22.85025 14 23 21.50 -02 01 02.6          15.5 Rz25266540
06489J91J00X  C1995 05 22.85085 14 23 21.75 -02 01 00.9          15.5 Rz25258117
06489J91J00X  C1995 05 22.85270 14 23 21.86 -02 00 55.7          15.5 Rz25266540
06489J91J00X  C1995 05 22.85308 14 23 22.10 -02 00 54.2          15.3 Rz25258117
06489J91J00X  C1995 05 22.85483 14 23 22.19 -02 00 49.3          15.5 Rz25266540
06489J91J00X  C1995 05 22.85697 14 23 22.51 -02 00 43.1          15.6 Rz25266540
06489J91J00X  C1995 05 22.85879 14 23 22.97 -02 00 37.6          15.6 Rz25258117
06489J91J00X  C1995 05 22.86226 14 23 23.44 -02 00 27.5          15.0 Rz25258117
06489J91J00X  C1995 05 22.86855 14 23 24.45 -02 00 09.8          16.0 R 25364113
06489J91J00X  C1995 05 22.87004 14 23 24.74 -02 00 03.0          15.4 Rz25258117
06489J91J00X  C1995 05 22.87310 14 23 25.15 -01 59 56.5          15.6 Rz25258117
06489J91J00X  C1995 05 22.87615 14 23 25.52 -01 59 48.5          15.0 Rz25258117
06489J91J00X  C1995 05 22.88164 14 23 26.39 -01 59 32.2          15.3 Rz25258117
06489J91J00X  C1995 05 22.88414 14 23 26.76 -01 59 25.3          15.3 Rz25258117
